,Id,Sentiment,Text Tweet,clean_teks,clean_teks2
94,95,negative,<PROVIDER_NAME> <PROVIDER_NAME> apakah setelah mendapat banyak customer sekarang 4G di Sembungan Bangunjiwo Jogja jadi gak stabil?,customer g sembung bangunjiwo jogja gak stabil,"['customer', 'g', 'sembung', 'bangunjiwo', 'jogja', 'gak', 'stabil']"
95,96,negative,Sinyal macam apa ini? Ping game aja segede itu. Sinyalnya seperti tai. <PROVIDER_NAME> ,sinyal ping game aja gede sinyal tai,"['sinyal', 'ping', 'game', 'aja', 'gede', 'sinyal', 'tai']"
96,97,positive,lebih baik <PROVIDER_NAME> ,,[]
97,98,negative,Malas banget yang 12Gb jadi 6Gb <PROVIDER_NAME> masalahnya harga sama mahalnya - jaringannya sama dan free YouTubenya gak terpakai jamnya hadeh,malas banget gb gb harga mahal jaring free youtubenya gak pakai jam hadeh,"['malas', 'banget', 'gb', 'gb', 'harga', 'mahal', 'jaring', 'free', 'youtubenya', 'gak', 'pakai', 'jam', 'hadeh']"
98,99,positive,Yang gratisan memang menyenangkan <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME> #kuotagratis <URL> ,gratis senang kuotagratis,"['gratis', 'senang', 'kuotagratis']"
99,100,positive,Pindah provider saja kali ya buat internetan #kuning lemot... Dengar dari teman si #biru lebih bagus <PROVIDER_NAME> <PROVIDER_NAME>,pindah provider kali ya internetan kuning lot dengar teman si biru bagus,"['pindah', 'provider', 'kali', 'ya', 'internetan', 'kuning', 'lot', 'dengar', 'teman', 'si', 'biru', 'bagus']"
100,101,negative,"tolong lakukan reset di nomor saya  Jaringan lemah, memakan waktu lama untuk open page web #LEMOT #JARINGAN #LTE <PROVIDER_NAME> <PROVIDER_NAME>",tolong laku reset nomor jaringan lemah makan open page web lot jaringan lte,"['tolong', 'laku', 'reset', 'nomor', 'jaringan', 'lemah', 'makan', 'open', 'page', 'web', 'lot', 'jaringan', 'lte']"
101,102,positive,<PROVIDER_NAME> <PROVIDER_NAME> yg semakin kekinian bikin keki.,yg kini bikin keki,"['yg', 'kini', 'bikin', 'keki']"
102,103,positive,kecepatan internet di ciwidey segini...  mantap <PROVIDER_NAME> #4glte <USER_MENTION> <URL> …,cepat internet ciwidey gin mantap glte,"['cepat', 'internet', 'ciwidey', 'gin', 'mantap', 'glte']"
103,104,negative,"Jaringan 4g <PROVIDER_NAME> di cimahi kenapa yah,  kok lambat ?, sudah 4 hari ini.  Tapi kalo di kota bandung lancar jaya.. ",jaringan g cimahi yah lambat kalo kota bandung lancar jaya,"['jaringan', 'g', 'cimahi', 'yah', 'lambat', 'kalo', 'kota', 'bandung', 'lancar', 'jaya']"
104,105,negative,"<PROVIDER_NAME> parah, cuma bisa di 3G <PROVIDER_NAME> <PROVIDER_NAME>",parah g,"['parah', 'g']"
105,106,negative,<PROVIDER_NAME> Koneksi 4G rasa GPRS <PROVIDER_NAME> ,koneksi g gprs,"['koneksi', 'g', 'gprs']"
106,107,negative,Kapan nih akses data di kecamatan cisewu kabupaten garut bisa 4G,nih akses data camat cisewu kabupaten garut g,"['nih', 'akses', 'data', 'camat', 'cisewu', 'kabupaten', 'garut', 'g']"
107,108,negative,<PROVIDER_NAME> <PROVIDER_NAME>4GLTE <PROVIDER_NAME> #BOGOR #AREA  <URL> … UDAH 3 BULAN TIDAK ADA TANGGAPAN YG JELAS ,provider nameglte bogor area udah tanggap yg,"['provider nameglte', 'bogor', 'area', 'udah', 'tanggap', 'yg']"
108,109,negative,"tidak direkomendasikan, baru coba paket <PROVIDER_NAME> mingguan, tes pakai twitter 30menit pulsa terus berkurang, langsung unreg. <PROVIDER_NAME>",rekomendasi coba paket minggu tes pakai twitter menit pulsa kurang langsung unreg,"['rekomendasi', 'coba', 'paket', 'minggu', 'tes', 'pakai', 'twitter', 'menit', 'pulsa', 'kurang', 'langsung', 'unreg']"
109,110,positive,Nonton gratis dibayarin <PROVIDER_NAME> poin  <PROVIDER_NAME> <PROVIDER_NAME>poin ,nonton gratis dibayarin poin provider namepoin,"['nonton', 'gratis', 'dibayarin', 'poin', 'provider namepoin']"
110,111,positive,"Belum lama pakai <PROVIDER_NAME>, alhamdulillah selalu bermanfaat sinyalnya. #gsm #handphone <PROVIDER_NAME> #Simpati",pakai alhamdulillah manfaat sinyal gsm handphone simpati,"['pakai', 'alhamdulillah', 'manfaat', 'sinyal', 'gsm', 'handphone', 'simpati']"
111,112,positive,Terimakasih <PROVIDER_NAME> <URL> ,terimakasih,['terimakasih']
112,113,positive,Makin mantap saja si <PROVIDER_NAME>. Sekali SMS tarifnya 300. ,mantap si sms tarif,"['mantap', 'si', 'sms', 'tarif']"
113,114,positive,"alhamdulillah sudah beres pakai <PROVIDER_NAME> <PROVIDER_NAME>, daripada nunggu konfirmasi <PROVIDER_NAME> yg gak akan pernah datang. #janji… <URL>",alhamdulillah beres pakai nunggu konfirmasi yg gak janji,"['alhamdulillah', 'beres', 'pakai', 'nunggu', 'konfirmasi', 'yg', 'gak', 'janji']"
114,115,positive,<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang <PRODUCT_NAME> dari <PROVIDER_NAME>  #<PRODUCT_NAME> <PROVIDER_NAME> ,terimakasih menang,"['terimakasih', 'menang']"
115,116,positive,Asik juga kencang begini <PROVIDER_NAME> ,asik kencang,"['asik', 'kencang']"
